block_group,reduced_match_qualify
080299648002,Qualifying
080299648003,Qualifying
080299648004,Qualifying
080299649001,Qualifying
080299649002,Qualifying
080299649003,Qualifying
080299650011,Qualifying
080299650012,Not Qualifying
080299650013,Qualifying
080299650021,Qualifying
080299650022,Qualifying
080299651001,Qualifying
080299651002,Qualifying
080299651003,Not Qualifying
080299652011,Qualifying
080299652012,Qualifying
080299652021,Not Qualifying
080299652022,Qualifying
080310001021,Not Qualifying
080310001022,Not Qualifying
080310001023,Not Qualifying
080310002011,Qualifying
080310002023,Qualifying
080310002024,Qualifying
080310014011,Qualifying
080310014021,Qualifying
080310014022,Qualifying
080310014033,Qualifying
080310023003,Not Qualifying
080310029021,Not Qualifying
080310029022,Not Qualifying
080310031011,Qualifying
080310031021,Qualifying
080310031023,Qualifying
080310031024,Qualifying
080310034021,Not Qualifying
080310034023,Not Qualifying
080310035011,Qualifying
080310037011,Not Qualifying
080310037012,Not Qualifying
080310037013,Not Qualifying
080310041013,Qualifying
080310041014,Qualifying
080310041021,Qualifying
080310041034,Not Qualifying
080310041084,Not Qualifying
080310041092,Not Qualifying
080310041093,Not Qualifying
080310041101,Qualifying
080310041102,Not Qualifying
080310041111,Not Qualifying
080310042014,Not Qualifying
080310042015,Not Qualifying
080310042016,Not Qualifying
080310044042,Qualifying
080310044061,Not Qualifying
080310044062,Not Qualifying
080310044071,Not Qualifying
080310044072,Qualifying
080310044073,Qualifying
080310048013,Qualifying
080310055021,Qualifying
080310055032,Qualifying
080310055033,Qualifying
080310068102,Qualifying
080310068121,Not Qualifying
080310068122,Not Qualifying
080310068171,Not Qualifying
080310069022,Qualifying
080310069031,Qualifying
080310069032,Qualifying
080310070061,Qualifying
080310070062,Qualifying
080310070371,Qualifying
080310070372,Qualifying
080310070881,Qualifying
080310070882,Qualifying
080310070883,Qualifying
080310070884,Qualifying
080310070901,Qualifying
080310070911,Qualifying
080310070912,Qualifying
080310070913,Not Qualifying
080310083041,Qualifying
080310083042,Qualifying
080310083051,Qualifying
080310083052,Qualifying
080310083861,Qualifying
080310083881,Qualifying
080310083882,Qualifying
080310083883,Qualifying
080310083885,Qualifying
080310083891,Qualifying
080310083892,Qualifying
080310083893,Qualifying
080310083894,Qualifying
080310083895,Qualifying
080310083912,Qualifying
080310119022,Qualifying
080310119023,Qualifying
080310119031,Not Qualifying
080310119032,Qualifying
080310120011,Not Qualifying
080310120012,Not Qualifying
080310120101,Not Qualifying
080310120103,Qualifying
080310120105,Not Qualifying
080310120153,Qualifying
080310154001,Qualifying
080310154002,Not Qualifying
080310154003,Not Qualifying
080310154004,Qualifying
080310154005,Not Qualifying
080310156002,Qualifying
080310157001,Qualifying
080310157002,Qualifying
080310157003,Qualifying
080310157004,Qualifying
080310158001,Qualifying
080330001001,Qualifying
080330001002,Qualifying
080330001003,Not Qualifying
080350139041,Qualifying
080350139042,Not Qualifying
080350139043,Not Qualifying
080350139051,Qualifying
080350139052,Not Qualifying
080350139053,Not Qualifying
080350139054,Qualifying
080350139071,Not Qualifying
080350139072,Not Qualifying
080350139073,Not Qualifying
080350139074,Not Qualifying
080350139091,Not Qualifying
080350139092,Not Qualifying
080350139093,Not Qualifying
080350139101,Not Qualifying
080350139102,Not Qualifying
080350139103,Not Qualifying
080350139111,Not Qualifying
080350139112,Not Qualifying
080350139113,Qualifying
080350139114,Not Qualifying
080350139115,Not Qualifying
080350139121,Not Qualifying
080350139122,Not Qualifying
080350139123,Not Qualifying
080350139124,Not Qualifying
080350139125,Not Qualifying
080350139131,Not Qualifying
080350139132,Not Qualifying
080350139141,Not Qualifying
080350139142,Not Qualifying
080350139151,Not Qualifying
080350139152,Not Qualifying
080350139153,Not Qualifying
080350140051,Not Qualifying
080350140052,Not Qualifying
080350140061,Not Qualifying
080350140062,Not Qualifying
080350140063,Not Qualifying
080350140071,Qualifying
080350140072,Not Qualifying
080350140073,Qualifying
080350140081,Not Qualifying
080350140082,Not Qualifying
080350140083,Not Qualifying
080350140084,Not Qualifying
080350140085,Not Qualifying
080350140086,Not Qualifying
080350140087,Not Qualifying
080350140091,Not Qualifying
080350140092,Not Qualifying
080350140101,Not Qualifying
080350140102,Qualifying
080350140103,Not Qualifying
080350140111,Not Qualifying
080350140112,Not Qualifying
080350140113,Not Qualifying
080350140131,Not Qualifying
080350140132,Not Qualifying
080350140133,Not Qualifying
080350140134,Not Qualifying
080350140135,Not Qualifying
080350140136,Not Qualifying
080350140141,Not Qualifying
080350140142,Not Qualifying
080350140143,Not Qualifying
080350140151,Not Qualifying
