block_group,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,no_hs_degree_percent_4_rank,over_65_percent_5_rank,under_18_percent_6_rank,disabled_adult_percent_7_rank,single_householder_percent_8_rank,percent_minority_9_rank,eng_proficiency_rank,over_10_rank,mobile_units_rank,over_1_person_room_percent_13_rank,no_vehicle_percent_14_rank,group_quarters_percent_15_rank,Gini_income_rank,Gini_education_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,reduced_match_qualify
080010085246,0,0.71,0,0.29,0.94,0,0,0.72,0,0,0,0,0.93,0,0.99,0.83,0.01,0.36,0.031,FALSE,Not Qualifying
080010085261,0.33,0.63,0.7,0.15,0.58,0.41,0.93,0.73,0,0.88,0,0,0,0,0.38,0.3,0.42,0.34,0.033,TRUE,Qualifying
080010085262,0.33,0.57,0.54,0.5,0.92,0.25,0,0.66,0,0,0,0,0,0,0.58,0.79,0.12,0.4,0.069,FALSE,Not Qualifying
080010085265,0.52,0.27,0.9,0.35,0.41,0.36,0,0.5,0.89,0,0,0,0.86,0,0.81,0.1,0.18,0.44,0.045,FALSE,Not Qualifying
080010085331,0.44,0.24,0.59,0.14,0.73,0.08,0.49,0.77,0.71,0.77,0,0.76,0,0,0.34,0.34,0.35,0.32,0.003,TRUE,Qualifying
080010085332,0.15,0.31,0.88,0.72,0.35,0.62,0,0.84,0.89,0.96,0,0.89,0.69,0.93,0.68,0.09,0.56,0.58,0.131,TRUE,Qualifying
080010085333,0.54,0.87,0.87,0.13,0.58,0.63,0.82,0.75,0.77,0,0,0,0,0,0.47,0.16,0.6,0.74,0.411,TRUE,Qualifying
080010085334,0.84,0,0.81,0.07,0.91,0.83,0.61,0.95,0.9,0.88,0,0.98,0,0,0.78,0.65,0.93,0.96,0.877,TRUE,Qualifying
080010085335,0,0,0,0.04,0.78,0,0.92,0.8,0,0,0,0,0,0,0.84,0.9,0.34,0.28,0.013,TRUE,Qualifying
080010085341,0.42,0.65,0.83,0.16,0.9,0.07,0.8,0.85,0,0,0,0,0,0,0.6,0.05,0.42,0.47,0.064,TRUE,Qualifying
080010085351,0.44,0.27,0.92,0.22,0.61,0.29,0.72,0.79,0.91,0.74,0.71,0.77,0.78,0,0.68,0.02,0.29,0.68,0.056,TRUE,Qualifying
080010085352,0.93,0.98,0.97,0.68,0.11,0.69,0,0.69,0,0,0,0,0,0,0.95,0.3,0.44,0.85,0.653,TRUE,Qualifying
080010085361,0.33,0.22,0.79,0.55,0.55,0.5,0.32,0.7,0.58,0.56,0,0.63,0,0,0.65,0.09,0.2,0.26,0,TRUE,Qualifying
080010085362,0.45,0.37,0.75,0.15,0.9,0.46,0.65,0.84,0.81,0.63,0,0.79,0,0,0.69,0.5,0.17,0.66,0.074,TRUE,Qualifying
080010085381,0,0,0.61,0.08,0.88,0,0.66,0.99,0,0,0.88,0.99,0,0,0.93,0.98,0.59,0.8,0.547,FALSE,Qualifying
080010085382,0,0.63,0.32,0.13,0.94,0.1,0.41,0.67,0,0,0,0,0,0,0.78,0.71,0.09,0.23,0,FALSE,Not Qualifying
080010085383,0.56,0.77,0.48,0.07,0.82,0.43,0.33,0.63,0.76,0,0,0,0,0,0.93,0.47,0.11,0.67,0.085,FALSE,Not Qualifying
080010085384,0.48,0.78,0.83,0.16,0.86,0.58,0.45,0.83,0.64,0.63,0,0.65,0,0,0.79,0.1,0.17,0.64,0.056,FALSE,Not Qualifying
080010085401,0.63,0,0,0.23,0.67,0.8,0,0.88,0,0,0,0.97,0.63,0,0.83,0.93,0.15,0.59,0.219,FALSE,Not Qualifying
080010085402,0,0.79,0.66,0.07,0.77,0.9,0.63,0.68,0,0,0,0,0,0,0.87,0.89,0.22,0.63,0.124,FALSE,Not Qualifying
080010085405,0.34,0.21,0.3,0.28,0.72,0.8,0.86,0.74,0,0,0,0,0,0,0.87,0.55,0.31,0.48,0.033,FALSE,Not Qualifying
080010085406,0,0.87,0.59,0.15,0.81,0.08,0,0.66,0.83,0,0,0,0,0,0.98,0.53,0.02,0.46,0.035,FALSE,Not Qualifying
080010085441,0,0.9,0.74,0.11,0.93,0.06,0.31,0.72,0.78,0,0,0,0.64,0,0.85,0.24,0.15,0.49,0,FALSE,Not Qualifying
080010085442,0.87,0.46,0.5,0.08,0.69,0.1,0.84,0.69,0.68,0,0.68,0,0,0,0.45,0.46,0.23,0.7,0.025,FALSE,Not Qualifying
080010085443,0.25,0.34,0,0.24,0.96,0.1,0.33,0.68,0,0,0,0,0.55,0,0.9,0.72,0.06,0.29,0,FALSE,Not Qualifying
080010085451,0.3,0.26,0.42,0.47,0.29,0.63,0.57,0.33,0.74,0,0,0,0.77,0,0.13,0.68,0.35,0.19,0.004,FALSE,Not Qualifying
